,Model,ROC AUC,Confusion Matrix,accuracy,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,2_precision,2_recall,2_f1-score,2_support,3_precision,3_recall,3_f1-score,3_support,4_precision,4_recall,4_f1-score,4_support,Vectorizer
0,Logistic Regression,0.7684402283802693,"[[771 371 182  74  52]
 [393 516 374 148  77]
 [210 351 459 292 107]
 [ 55  85 161 378 204]
 [ 55  77  65 295 965]]",0.4598779216912312,0.5195417789757413,0.5317241379310345,0.5255623721881391,1450.0,0.36857142857142855,0.3421750663129973,0.35488308115543327,1508.0,0.3698630136986301,0.32346723044397463,0.3451127819548872,1419.0,0.3184498736310025,0.42808607021517553,0.3652173913043478,883.0,0.6868327402135231,0.6623198352779684,0.6743535988819007,1457.0,CountVectorizer
1,ElasticNet (Logistic),0.7753964968951216,"[[803 343 180  68  56]
 [411 485 382 152  78]
 [205 331 468 303 112]
 [ 51  79 157 394 202]
 [ 48  68  65 286 990]]",0.4674705969927051,0.5289855072463768,0.5537931034482758,0.5411051212938005,1450.0,0.37136294027565087,0.32161803713527853,0.3447050461975835,1508.0,0.3738019169329074,0.3298097251585624,0.35043055035567205,1419.0,0.32751454696591853,0.44620611551528877,0.37775647171620325,883.0,0.6884561891515995,0.6794783802333562,0.6839378238341969,1457.0,CountVectorizer
2,Random Forest,0.7601736686049888,"[[ 984  195  137   61   73]
 [ 658  319  289  124  118]
 [ 395  216  346  263  199]
 [  83   63  119  332  286]
 [  86   47   74  167 1083]]",0.45615602203364597,0.4460562103354488,0.6786206896551724,0.5382932166301969,1450.0,0.37976190476190474,0.21153846153846154,0.2717206132879046,1508.0,0.35854922279792745,0.24383368569415081,0.2902684563758389,1419.0,0.3505807814149947,0.37599093997734995,0.3628415300546448,883.0,0.6156907333712337,0.7433081674673988,0.6735074626865671,1457.0,CountVectorizer
3,XGBoost,0.7747912029983711,"[[812 335 193  58  52]
 [441 485 360 137  85]
 [222 330 430 318 119]
 [ 32  98 142 376 235]
 [ 42  70  98 252 995]]",0.4612178055679619,0.5242091672046482,0.56,0.541513837945982,1450.0,0.36798179059180575,0.32161803713527853,0.343241330502477,1508.0,0.3515944399018806,0.30303030303030304,0.3255109765329296,1419.0,0.32953549517966696,0.4258210645526614,0.3715415019762846,883.0,0.6695827725437415,0.6829100892244337,0.6761807679238871,1457.0,CountVectorizer
4,LightGBM,0.7893118308838283,"[[ 852  336  150   70   42]
 [ 444  481  364  145   74]
 [ 231  333  410  330  115]
 [  40   76  129  414  224]
 [  51   62   63  259 1022]]",0.47327676045853806,0.5265760197775031,0.5875862068965517,0.5554106910039114,1450.0,0.3734472049689441,0.31896551724137934,0.3440629470672389,1508.0,0.3673835125448029,0.28893587033121915,0.3234714003944773,1419.0,0.3399014778325123,0.46885617214043035,0.3940980485483103,883.0,0.6919431279620853,0.7014413177762526,0.6966598500340832,1457.0,CountVectorizer
5,LinearSVC,,"[[752 364 193  73  68]
 [410 468 367 168  95]
 [228 349 430 284 128]
 [ 58 107 161 341 216]
 [ 65  84  90 271 947]]",0.4373976477594164,0.4970257766027759,0.5186206896551724,0.5075936550793115,1450.0,0.34110787172011664,0.3103448275862069,0.325,1508.0,0.34649476228847703,0.30303030303030304,0.3233082706766917,1419.0,0.29991204925241866,0.38618346545866367,0.33762376237623765,883.0,0.6513067400275103,0.6499656829100893,0.6506355204397114,1457.0,CountVectorizer
6,Logistic Regression,0.7941397085776901,"[[ 850  329  168   53   50]
 [ 420  507  380  127   74]
 [ 199  362  451  308   99]
 [  50   80  142  415  196]
 [  46   65   64  264 1018]]",0.4825070716093494,0.5431309904153354,0.5862068965517241,0.5638474295190713,1450.0,0.37751303052866714,0.33620689655172414,0.35566467905997895,1508.0,0.37427385892116183,0.3178294573643411,0.34375,1419.0,0.3556126820908312,0.46998867497168745,0.40487804878048783,883.0,0.708420320111343,0.6986959505833905,0.7035245335176227,1457.0,TfidfVectorizer
7,ElasticNet (Logistic),0.7928891545463626,"[[ 878  310  155   57   50]
 [ 445  472  385  123   83]
 [ 200  357  456  296  110]
 [  46   88  139  408  202]
 [  50   66   69  255 1017]]",0.4810183117463153,0.5423100679431748,0.6055172413793104,0.5721733463668948,1450.0,0.36504253673627224,0.3129973474801061,0.3370224919671546,1508.0,0.3787375415282392,0.321353065539112,0.347693480747236,1419.0,0.3582089552238806,0.46206115515288787,0.4035608308605341,883.0,0.6956224350205198,0.698009608785175,0.696813977389517,1457.0,TfidfVectorizer
8,Random Forest,0.7631755667781317,"[[ 939  246  129   53   83]
 [ 637  340  307  110  114]
 [ 350  271  367  234  197]
 [  81   76  123  312  291]
 [  61   57   79  174 1086]]",0.4531785023075778,0.45406189555125726,0.6475862068965518,0.533826037521319,1450.0,0.3434343434343434,0.22546419098143236,0.2722177742193755,1508.0,0.36517412935323385,0.25863284002818887,0.3028052805280528,1419.0,0.35334088335220837,0.35334088335220837,0.35334088335220837,883.0,0.6132128740824393,0.7453671928620453,0.6728624535315985,1457.0,TfidfVectorizer
9,XGBoost,0.7749466921488721,"[[792 386 162  55  55]
 [421 500 361 143  83]
 [222 352 442 285 118]
 [ 35  89 147 394 218]
 [ 41  99  82 268 967]]",0.4607711776090517,0.5241561879549967,0.5462068965517242,0.5349544072948328,1450.0,0.3506311360448808,0.33156498673740054,0.34083162917518744,1508.0,0.37018425460636517,0.31148696264975334,0.3383084577114428,1419.0,0.3441048034934498,0.44620611551528877,0.388560157790927,883.0,0.6710617626648161,0.6636925188743995,0.6673567977915804,1457.0,TfidfVectorizer
10,LightGBM,0.7880338939979826,"[[829 346 157  65  53]
 [442 471 381 144  70]
 [225 332 449 316  97]
 [ 42  79 143 412 207]
 [ 42  88  66 281 980]]",0.46761947297900847,0.5246835443037975,0.5717241379310345,0.5471947194719472,1450.0,0.35790273556231,0.3123342175066313,0.3335694050991501,1508.0,0.3754180602006689,0.3164200140944327,0.3434034416826004,1419.0,0.33825944170771755,0.4665911664779162,0.39219419324131366,883.0,0.6965174129353234,0.6726149622512011,0.6843575418994413,1457.0,TfidfVectorizer
11,LinearSVC,,"[[ 841  319  160   74   56]
 [ 427  477  363  158   83]
 [ 227  358  410  298  126]
 [  59  101  137  368  218]
 [  62   76   67  233 1019]]",0.46374869733511986,0.5204207920792079,0.58,0.548597521200261,1450.0,0.3583771600300526,0.3163129973474801,0.3360338147234942,1508.0,0.3605980650835532,0.28893587033121915,0.3208137715179969,1419.0,0.3253757736516357,0.41676104190260477,0.365441906653426,883.0,0.6784287616511319,0.699382292381606,0.6887461980398784,1457.0,TfidfVectorizer
